title,author,year,url,summary,n_samples,notes,tags
SafeBench-Seq: A Homology-Clustered CPU-Only Baseline for Protein Hazard Screening,(arXiv 2512.17527),2025,https://arxiv.org/abs/2512.17527,Public benchmark built from SafeProtein hazards and UniProt benigns; homology-clustered at <=40% identity with cluster-level holdouts to approximate never-before-seen threats. Provides a CPU-only baseline using physicochemical and composition features.,unspecified (cluster-level splits),Closest fit to the hackathon problem; gives ready-made train/test with the exact AI-evasion setup we want SAE features evaluated against.,benchmark;hazard-screening;homology-clustered;biosecurity
The Limits of Sequence-Based Biosecurity Screening Tools in the Age of AI-Assisted Protein Design,(bioRxiv),2026,https://www.biorxiv.org/content/10.64898/2026.03.04.709671v1,Documents how AI-redesigned variants evade current sequence-based screening; motivates the need for representation-based detectors.,n/a (analysis paper),Frames the threat model. Useful for the writeup and to source adversarial examples to test against.,framing;AI-evasion;screening
Strengthening nucleic acid biosecurity screening against generative protein design tools,(Science),2025,https://www.science.org/doi/10.1126/science.adu8578,Red-team study evaluating open-source AI protein design tools generating evasive variants of proteins of concern; resulted in patches deployed to screening tools.,n/a (study),Companion to the bioRxiv paper; the canonical reference for the AI-evasion vulnerability the hackathon track is responding to.,framing;AI-evasion;red-team
ToxinPred 3.0: An improved method for predicting the toxicity of peptides,(Raghava lab),2024,https://www.biorxiv.org/content/10.1101/2023.08.11.552911v1.full,Balanced peptide-level toxic vs non-toxic classifier dataset. Negatives sourced from UniProt with 'NOT toxin NOT toxic AND reviewed:yes'; peptides <35 aa.,"5,518 toxic + 5,518 non-toxic","Peptide-only (short sequences); good for warm-up baselines but won't cover protein-length toxins.",toxin-classification;peptides;balanced
ToxinPred2: an improved method for predicting toxicity of proteins,(Raghava lab),2022,https://academic.oup.com/bib/article/23/5/bbac174/6590152,Protein-length toxic vs non-toxic dataset with Main / Alternate / Realistic splits. Realistic split closest to deployment conditions.,"4,472 toxic + 6,341 non-toxic",Use the Realistic split for evaluation; Main split for training. Protein-length so directly compatible with RFD3 inputs.,toxin-classification;proteins;balanced
Towards a Dataset for State of the Art Protein Toxin Classification (BioLMTox),(bioRxiv),2024,https://www.biorxiv.org/content/10.1101/2024.04.14.589430v1.full,Unified toxin classifier (BioLMTox) trained on a merged corpus consolidating prior toxin datasets; current SOTA single-model baseline.,merged corpus (see paper),Use as the baseline to beat with SAE-feature classifiers.,baseline;toxin-classification;language-model
Victors: a web-based knowledge base of virulence factors in human and animal pathogens,(NAR),2019,https://academic.oup.com/nar/article/47/D1/D693/5144967,"Manually curated virulence factors from >100 bacterial, viral, parasitic, and fungal pathogens.",~5000+ VFs,"Includes viral entries (unlike PHI-base). No native benign class — pair with UniProt `reviewed:yes NOT virulence` as negatives.",virulence-factors;viral;positive-only
VFDB: Virulence Factor Database,(mgc.ac.cn / NAR),2005-ongoing,https://www.mgc.ac.cn/VFs/,Reference database of bacterial virulence factors with continually expanded orthologues and alleles.,"62,332 non-redundant orthologues (VFDB 2.0)","Bacterial-only; well-curated. Same UniProt-negative pairing trick for benigns.",virulence-factors;bacterial;positive-only
PHI-base: the multi-species pathogen-host interaction database in 2025,(NAR),2025,https://academic.oup.com/nar/article/53/D1/D826/7908791,"Experimentally verified pathogenicity, virulence, and effector genes from fungal, protist, and bacterial pathogens.",see paper,Does NOT include viral pathogens — Victors is preferred if viral coverage matters.,pathogen-host;non-viral
SecureDNA features,(SecureDNA Foundation),ongoing,https://securedna.org/features/,Free non-profit DNA synthesis screening; detects hazards down to 30 bp / 20 aa using a 'random adversarial threshold' search over functional variants.,n/a (service),"Reference deployed system; not a dataset but defines the bar a detector should exceed. The screening hashes are not public, but the threat model is.",reference;deployed-screening
AI-designed proteins test biosecurity safeguards,(Science News),2025,https://www.sciencenews.org/article/ai-proteins-biosecurity-safeguards,Lay-press summary of the Science red-team study; useful one-pager for context.,n/a,Quick read for non-technical context — good for the writeup intro.,popular-science;framing
